Track Name,Genre,Tempo,Duration,Mood,Energy Level,Rating,User Action
Rock Paper Scissors,Electronic,87.5,3.6,Mixed,8.0,4.1,Skipped
Coffee & TV,Rock,121.6,5.7,Happiness,7.9,3.5,Liked
Original Fire,Rock,124.2,7.8,Happiness,4.8,4.0,Skipped
Added Planet,Electronic,130.0,5.8,Happiness,7.4,3.5,Liked
Seamonkey,Electronic,130.0,6.2,Happiness,8.1,3.4,Liked
Fools Like Me,Pop,110.1,6.8,Energetic,2.8,3.8,Skipped
Race : Out,Rock,109.4,8.0,Happiness,7.9,3.9,Skipped
Fame and Fortune,Rock,144.1,3.6,Energetic,8.3,4.0,Skipped
"When The World Is Running Down, You Make The Best Of What's Still Around",Rock,124.1,3.6,Energetic,5.9,3.5,Skipped
Dime Western,Rock,105.6,5.6,Energetic,8.6,3.8,Skipped
fountain,Rock,95.3,6.0,Happiness,7.4,3.8,Liked
Nightwalker,Electronic,118.0,5.8,Happiness,4.2,2.5,Liked
Gramy Dalej,Rock,170.1,3.7,Happiness,7.2,3.9,Skipped
Diamond Heart,Folk,127.8,3.5,Mixed,6.3,4.0,Skipped
The Creeps,Electronic,86.0,5.8,Sad,3.7,4.0,Liked
Zu Fuss,Electronic,133.9,4.1,Energetic,5.7,3.2,Liked
Comfort Eagle,Rock,121.0,3.7,Mixed,0.1,3.9,Skipped
Sorted for E's & Wizz,Rock,93.2,3.6,Happiness,3.6,4.0,Skipped
My Darling,Rap,69.2,3.6,Mixed,5.9,3.7,Skipped
What Lies Beneath,Rap,118.3,3.6,Energetic,8.8,4.1,Skipped
Some Are Lakes,Rock,129.9,6.0,Mixed,4.0,3.9,Skipped
You Keep Me From Breaking Apart,Electronic,117.0,5.7,Happiness,6.8,3.7,Skipped
City Escape,Rock,159.9,5.9,Happiness,6.2,3.7,Liked
I Don't Feel Very Receptive Today,RnB,160.0,3.7,Happiness,9.6,4.0,Skipped
Ham Green,Rock,69.2,6.5,Mixed,2.0,3.3,Liked
A Crippling Blow,Rock,122.9,3.6,Energetic,9.4,4.1,Skipped
Tiger By My Side,Electronic,135.8,5.8,Happiness,4.8,3.9,Liked
Birth Ritual,Rock,131.2,6.1,Mixed,1.2,3.7,Liked
Bop,Country,120.0,6.7,Happiness,2.4,3.2,Liked
To the Lions,RnB,100.2,3.7,Energetic,5.0,4.1,Skipped
Chris Michaels,Rock,184.9,6.9,Mixed,9.2,4.0,Liked
Starspawn,RnB,131.7,8.0,Happiness,9.4,4.2,Skipped
Mahadeva,Rock,155.0,7.7,Happiness,4.5,2.4,Liked
Router,Electronic,138.0,6.5,Happiness,5.6,3.4,Liked
The Endless Knot,Rock,180.9,7.0,Mixed,9.5,4.0,Liked
Dogs of War,Punk,99.4,3.6,Mixed,3.6,4.1,Skipped
Rip Off,Rock,192.8,3.6,Happiness,9.1,3.3,Skipped
Silence of the Darkness,RnB,160.0,3.7,,9.8,4.2,Skipped
Beachcoma,Electronic,122.0,6.5,Mixed,4.7,3.4,Liked
Cold Spring,Rock,88.3,5.8,Energetic,5.5,3.7,Liked
Chamber,Electronic,155.1,6.7,Energetic,4.2,3.9,Liked
Tankakern,Electronic,111.0,7.3,Happiness,6.6,3.0,Skipped
What I've Lost,Rock,124.0,6.2,Mixed,1.0,3.4,Liked
Baby Hold On,Rock,120.4,5.2,Happiness,7.5,3.6,Skipped
Water Under My Bridges,Electronic,112.0,4.9,Mixed,8.0,3.4,Liked
Diary of a Dope Fiend,RnB,143.9,6.6,Happiness,5.5,4.0,Liked
Utterance,Reggae,151.5,3.7,Energetic,6.5,3.9,Skipped
Do You Wanna Know?,Rock,184.0,3.6,Mixed,9.6,4.3,Skipped
Bad Influence,Blues,138.1,7.1,Happiness,3.0,4.1,Skipped
Chiminea,Electronic,145.5,6.2,Sad,0.7,2.0,Liked
Ashtray Heart,Rock,138.2,3.5,Mixed,0.5,4.1,Skipped
Wrists of Kings,RnB,128.2,7.8,Sad,0.7,3.7,Liked
T.H.E.H.I.V.E.S.,Rock,111.0,6.9,Mixed,5.3,4.1,Skipped
Grains,RnB,135.1,3.7,Mixed,4.1,3.7,Skipped
Brand New Second Hand,Reggae,148.4,3.6,Energetic,4.8,3.1,Skipped
Amor,Jazz,179.9,3.7,Energetic,3.7,3.6,Skipped
See You In Hell,Rock,125.9,6.6,Happiness,6.8,3.7,Liked
Pap Smear,Electronic,122.0,6.3,Mixed,8.4,4.1,Skipped
The Impending Death of the Virgin Spirit,Pop,91.0,6.1,Mixed,2.1,2.4,Liked
Tide,Jazz,111.0,7.8,Happiness,5.1,3.3,Liked
Lunatic Harness,Electronic,192.8,6.1,Energetic,1.0,3.8,Liked
Love Plus One,Rock,136.9,3.5,Happiness,7.0,3.6,Skipped
Kickstart My Heart,Rock,89.8,7.1,Mixed,4.8,4.1,Liked
Liberty Bell,RnB,,6.0,Happiness,3.5,3.9,Liked
The Crowing,Rock,172.9,6.6,Happiness,4.3,4.0,Liked
Bare Your Teeth,Electronic,139.0,3.7,Happiness,8.0,3.3,Skipped
Dedicated,Rock,102.0,5.8,Energetic,7.8,3.3,Liked
Burden of Tomorrow,Folk,156.2,3.6,Energetic,4.6,3.7,Skipped
Live In A Hiding Place,Rock,130.8,3.5,Energetic,7.4,3.8,Skipped
Torn To Pieces,Rock,122.3,3.6,Sad,8.9,3.6,Skipped
Rockit Soul,Electronic,175.8,3.7,Energetic,7.2,3.7,Skipped
Fall In Love With Me,RnB,130.3,5.2,Happiness,9.4,4.1,Liked
Midnight Tango,Jazz,175.2,7.5,Mixed,6.1,3.1,Liked
Could This Be Real,Electronic,125.0,3.6,Mixed,7.6,3.9,Skipped
Deny Me,Rock,107.1,4.1,Energetic,3.9,4.3,Skipped
Sampo,RnB,175.9,4.4,Energetic,7.6,4.1,Liked
Bass Baby,Electronic,126.4,8.0,Energetic,6.8,3.7,Liked
"For Always, Forever",Rock,148.0,3.5,,4.0,4.3,Skipped
Break You,RnB,107.8,7.9,Energetic,10.0,4.2,Skipped
68 Moves,Electronic,,3.7,Energetic,5.3,3.7,Skipped
To Be Me,Electronic,176.0,6.3,Happiness,2.5,3.6,Liked
Clankiller,RnB,95.0,3.6,Mixed,2.8,4.2,Skipped
Greyest Love of All,Rock,135.0,3.7,Mixed,3.0,3.0,Skipped
Mr. Brown,Reggae,93.0,3.6,Happiness,7.7,4.2,Skipped
Rpeg,Electronic,120.0,6.0,Mixed,8.1,3.6,Liked
The Stroke,Rock,91.4,5.9,Mixed,5.1,3.7,Skipped
Reel Around the Fountain,Rock,109.8,6.0,Mixed,4.4,3.0,Liked
Maybes,Electronic,109.9,3.7,Mixed,3.7,3.5,Skipped
Heaven and Hell,Country,93.2,7.0,Mixed,5.8,3.3,Liked
Return To Innocence (Long & Alive Version),Pop,88.0,7.1,Mixed,4.0,3.7,Liked
Last Of The Small Town Playboys,Rock,118.3,3.5,Happiness,4.2,4.4,Skipped
Pattern Recognition,RnB,148.8,5.2,Happiness,3.5,3.8,Liked
Suomi Finland,Jazz,187.5,7.5,Sad,8.5,3.7,Liked
She Paints Me Blue,Rock,154.1,3.6,Happiness,7.9,3.9,Skipped
Your Love,Reggae,129.6,3.7,Happiness,8.3,3.9,Skipped
Your Man,Rock,100.5,3.5,Energetic,6.4,4.1,Skipped
Howling,Electronic,140.1,3.7,Happiness,3.6,3.2,Skipped
Sutrix,Electronic,113.2,5.9,Happiness,7.6,3.7,Liked
Ride Captain Ride,Rock,125.5,3.7,Happiness,6.2,3.3,Skipped
Kyla Cries Cologne,Rock,108.6,3.6,Mixed,4.2,4.1,Skipped
Erase It Again,Rock,112.9,3.6,Mixed,4.5,4.0,Skipped
You Have Fallen From Grace,Electronic,125.0,6.5,Mixed,2.6,3.3,Liked
Buddy,Electronic,92.0,6.6,Mixed,3.2,2.0,Liked
Foreground,Rock,78.4,3.6,Mixed,2.2,3.0,Skipped
Ark Of The Covenant,Reggae,79.5,6.3,Mixed,6.7,3.7,Liked
Defeated,Rock,90.6,6.7,Happiness,1.9,4.1,Skipped
Profane Believers,RnB,174.1,3.6,Mixed,9.8,4.2,Skipped
Violent Crimes,RnB,110.1,3.6,Happiness,4.2,3.8,Skipped
Sinequanon,Electronic,108.0,7.3,Happiness,8.0,3.6,Liked
Crazy/Forever,Rock,142.1,6.1,Happiness,0.7,3.5,Liked
The Willing Well II: From Fear Through the Eyes of Madness,Rock,190.3,7.5,Happiness,9.8,4.1,Liked
Don't Forget,Rap,180.0,3.7,Sad,4.5,3.7,Skipped
Sight of You,Rock,118.8,5.9,Happiness,1.0,3.2,Liked
I Can't Remember,Country,106.9,3.7,Energetic,7.1,3.4,Skipped
Cassandra,RnB,83.1,3.5,Mixed,6.2,3.3,Skipped
My Kantele (Acoustic Reprise),RnB,135.7,6.0,Happiness,2.9,3.7,Liked
Hover,Jazz,100.0,3.6,Happiness,4.8,4.2,Skipped
Absurd,Electronic,124.8,3.7,Mixed,4.1,4.1,Skipped
In Shallow Seas We Sail,Rock,163.9,3.6,Mixed,9.4,4.2,Skipped
Elysian Feels,Electronic,146.6,6.1,Mixed,6.6,3.3,Liked
Whatcha Say,Pop,144.1,3.7,Mixed,2.5,3.9,Skipped
It's Gettin' Better (Man!!),Rock,126.1,7.0,Happiness,9.3,4.4,Liked
It Is Happening Again,Electronic,144.8,3.7,Energetic,0.7,4.1,Skipped
"Weeping Rock, Rock",Electronic,74.5,6.3,Happiness,5.6,3.3,Liked
2/3,Electronic,,6.3,Mixed,4.0,4.3,Liked
It's Late,Electronic,182.4,7.9,Mixed,2.4,4.0,Liked
Bluette,Electronic,173.0,4.3,Energetic,6.6,3.6,Skipped
Collides with Beauty,Electronic,137.0,5.9,Mixed,4.6,3.8,Liked
Chinaberry Tree,Rock,127.8,3.6,Happiness,7.3,3.8,Skipped
Moongate,RnB,95.9,3.5,Happiness,9.9,4.1,Skipped
Zero-Sum,Electronic,148.1,6.2,Mixed,6.0,3.5,Liked
Oceans of Time,RnB,68.0,5.7,Mixed,5.1,3.7,Liked
Cruelty,Electronic,120.0,7.1,Energetic,8.8,4.0,Liked
Berghain,Electronic,131.0,7.1,Mixed,1.2,3.4,Liked
Fur Soft As Fur,Rock,124.1,7.5,Happiness,6.5,3.8,Skipped
Crows Fly Black,RnB,108.0,6.5,Happiness,4.1,3.9,Liked
